Age,Overall,Potential,Value,Wage,Special,International Reputation,Weak Foot,Skill Moves,Jersey Number,Feet,Inches,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
26,88,89,70,340,2175,3,4,5,7,5,8,150,793,793,793,863,853,853,853,863,873,873,873,853,833,833,833,853,713,703,703,703,713,673,583,583,583,673,79,79,48,88,75,91,91,86,83,92,89,75,92,83,93,83,59,79,61,93,59,49,84,90,70,85,55,54,47,12,7,9,14,6,148
29,88,88,59,265,2069,3,4,4,14,6,2,176,843,843,843,833,833,833,833,833,813,813,813,813,733,733,733,813,643,583,583,583,643,613,523,523,523,613,77,88,79,77,86,79,80,74,64,82,93,95,76,87,70,82,79,76,76,79,43,48,90,77,76,86,27,25,36,6,9,15,9,9,112
29,88,88,46,160,2038,4,3,3,5,6,3,203,693,693,693,683,693,693,693,683,713,713,713,703,773,773,773,703,783,833,833,833,783,803,853,853,853,803,64,55,87,81,60,68,65,53,85,81,53,64,63,87,60,71,68,66,84,51,69,92,56,79,68,91,88,90,88,15,6,10,5,6,76
30,88,88,43,285,2279,4,4,5,12,5,9,176,803,803,803,843,833,833,833,843,843,843,843,853,843,843,843,853,853,833,833,833,853,843,813,813,813,843,90,70,75,84,54,90,85,67,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,59,86,71,85,86,12,5,5,5,9,88
28,88,88,60,355,2279,4,3,4,11,6,1,181,863,863,863,863,863,863,863,863,853,853,853,853,803,803,803,853,733,703,703,703,733,713,673,673,673,713,87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,76,86,54,55,52,15,15,11,5,6,123
33,88,88,24,165,2077,4,3,2,2,6,0,181,663,663,663,663,673,673,673,663,703,703,703,693,753,753,753,693,783,823,823,823,783,803,843,843,843,803,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,81,88,89,85,9,12,5,9,10,44
24,87,92,57,205,2147,3,3,2,23,6,0,165,703,703,703,693,693,693,693,693,693,693,693,703,733,733,733,703,803,813,813,813,803,813,843,843,843,813,69,51,79,81,70,69,72,62,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,58,61,82,90,89,86,15,10,14,12,15,121
25,87,90,65,130,1940,3,4,3,9,5,11,165,843,843,843,763,813,813,813,763,763,763,763,743,683,683,683,743,543,533,533,533,543,523,513,513,513,523,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,64,82,85,45,24,20,13,9,5,7,9,115
27,87,90,51,115,1660,3,3,2,26,6,2,196,523,523,523,513,523,523,523,513,523,523,523,553,583,583,583,553,713,753,753,753,713,753,843,843,843,753,30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,33,78,91,88,86,7,11,7,13,5,91
25,87,91,64,210,2247,4,4,5,6,6,4,185,813,813,813,823,823,823,823,823,833,833,833,833,843,843,843,833,773,783,783,783,773,753,743,743,743,753,80,73,73,86,85,87,84,82,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,81,87,66,70,68,5,6,2,4,3,123
25,87,89,63,230,2031,3,3,3,9,6,3,207,843,843,843,793,813,813,813,793,783,783,783,793,723,723,723,793,603,583,583,583,603,573,543,543,543,573,78,87,86,77,79,80,74,66,73,72,77,90,60,86,46,88,71,84,94,74,75,27,89,76,78,83,30,30,30,8,15,14,7,10,120
28,87,87,52,115,2009,3,4,3,17,6,1,187,843,843,843,793,823,823,823,793,783,783,783,773,703,703,703,773,603,583,583,583,603,583,553,553,553,583,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,78,81,34,33,32,6,8,15,12,6,88
29,87,87,38,250,2230,3,3,3,18,5,7,150,763,763,763,813,793,793,793,813,793,793,793,823,793,793,793,823,843,803,803,803,843,843,783,783,783,843,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,75,84,79,70,59,79,72,84,85,13,15,13,6,13,78
31,87,87,45,135,2043,3,4,4,14,5,7,134,783,783,783,863,853,853,853,863,863,863,863,853,783,783,783,853,653,603,603,603,653,603,463,463,463,603,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40,7,10,8,10,4,77
31,87,87,34,155,2079,3,3,3,5,6,2,190,693,693,693,683,693,693,693,683,703,703,703,703,743,743,743,703,793,813,813,813,793,803,843,843,843,803,68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,66,83,90,87,88,6,10,9,12,7,63
30,87,87,47,125,2188,3,5,3,17,6,0,174,813,813,813,823,833,833,833,823,843,843,843,823,843,843,843,823,773,783,783,783,773,753,723,723,723,753,78,79,74,88,79,86,80,72,83,87,69,68,76,88,66,82,71,84,67,83,56,72,88,86,70,84,75,73,62,8,6,4,14,14,79
30,87,87,47,260,2184,4,3,3,4,6,0,172,773,773,773,803,813,813,813,803,823,823,823,813,843,843,843,813,773,793,793,793,773,753,703,703,703,753,84,83,58,87,80,84,88,84,90,87,66,59,72,77,66,84,39,84,66,90,67,75,79,86,82,81,72,74,70,14,11,12,5,9,95
31,87,87,34,240,1950,4,3,2,3,6,4,187,683,683,683,643,663,663,663,643,673,673,673,663,733,733,733,663,753,813,813,813,753,773,833,833,833,773,57,64,83,81,57,59,58,43,80,78,49,60,58,84,36,62,74,65,83,51,72,88,58,62,69,86,91,86,84,10,11,14,15,8,70
22,86,92,61,195,2090,2,3,4,19,6,0,165,822,822,822,842,842,842,842,842,822,822,822,832,742,742,742,832,652,592,592,592,652,612,522,522,522,612,83,81,72,79,85,88,82,68,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,82,71,78,36,32,35,8,12,9,9,14,125
23,86,91,60,180,2039,2,3,4,11,5,8,141,752,752,752,842,822,822,822,842,842,842,842,842,802,802,802,842,682,652,652,652,682,632,532,532,532,632,85,75,51,85,69,92,83,67,79,91,84,74,90,82,88,70,50,78,48,72,58,49,83,86,68,85,49,44,35,9,10,14,12,9,115
26,86,87,52,195,2110,3,4,4,10,5,9,152,813,813,813,843,843,843,843,843,833,833,833,833,773,773,773,833,663,633,633,633,663,623,553,553,553,623,73,84,62,79,71,87,74,64,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,82,71,80,42,42,38,10,10,15,7,14,103
26,86,88,45,165,2046,3,3,2,4,6,4,203,683,683,683,653,663,663,663,653,673,673,673,673,713,713,713,673,763,803,803,803,763,783,853,853,853,783,53,52,82,76,45,70,60,70,78,73,74,77,61,85,49,81,85,71,92,64,81,86,41,59,62,83,88,89,84,13,10,13,11,11,88
23,86,89,57,195,2036,3,3,4,10,5,7,152,763,763,763,843,833,833,833,843,833,833,833,843,773,773,773,843,693,633,633,633,693,663,523,523,523,663,77,77,38,84,67,88,70,63,69,87,95,92,93,87,93,73,57,78,52,73,38,30,87,77,69,77,47,58,54,15,12,12,15,9,109
26,86,87,53,195,2187,3,4,4,9,5,11,168,833,833,833,833,843,843,843,833,843,843,843,833,823,823,823,833,723,733,733,733,723,693,673,673,673,693,72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42,8,11,9,6,10,105
25,86,91,50,210,1895,3,3,2,4,6,3,179,623,623,623,613,633,633,633,613,643,643,643,643,693,693,693,643,753,793,793,793,753,783,833,833,833,783,36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,43,82,87,88,87,11,11,9,5,14,106
25,86,89,55,135,2149,3,4,4,6,5,5,132,693,693,693,783,773,773,773,783,813,813,813,803,843,843,843,803,803,833,833,833,803,783,763,763,763,783,72,60,55,90,64,90,73,64,89,88,69,62,87,85,94,56,64,77,52,58,89,84,71,87,64,93,78,83,80,12,12,15,15,10,106
27,86,86,37,160,2198,3,3,3,12,5,11,176,743,743,743,773,753,753,753,773,763,763,763,783,773,773,773,783,833,813,813,813,833,833,813,813,813,833,84,55,76,81,68,80,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,60,82,81,84,84,7,7,9,12,5,60
27,86,86,47,175,2111,3,3,5,11,5,8,154,773,773,773,853,833,833,833,853,843,843,843,843,783,783,783,843,693,633,633,633,693,643,533,533,533,643,84,67,50,84,76,92,84,78,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,77,84,45,38,34,13,15,9,12,5,77
28,86,86,45,135,2097,4,4,3,13,6,1,165,823,823,823,813,823,823,823,813,823,823,823,813,793,793,793,813,683,663,663,663,683,663,593,593,593,663,79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,60,83,44,41,44,6,7,11,14,14,74
27,86,86,46,130,2190,3,3,5,19,5,9,154,753,753,753,823,813,813,813,823,843,843,843,823,843,843,843,823,763,773,773,773,763,733,673,673,673,733,72,69,54,90,90,90,85,77,87,90,78,69,90,84,86,75,75,75,59,79,57,78,79,86,75,85,67,63,65,6,11,7,9,13,75
29,86,86,44,100,2172,4,4,4,11,5,11,157,823,823,823,853,853,853,853,853,853,853,853,843,793,793,793,843,683,643,643,643,683,643,543,543,543,643,79,87,49,86,90,87,89,84,75,86,86,85,86,87,81,88,70,73,67,86,49,50,88,86,89,84,47,36,45,12,12,13,13,11,74
28,86,86,35,175,2114,3,3,2,14,5,10,168,673,673,673,713,703,703,703,713,723,723,723,743,773,773,773,743,833,833,833,833,833,843,833,833,833,843,81,46,76,81,51,69,68,58,80,77,76,76,72,88,73,68,76,87,71,60,82,89,62,74,66,78,88,90,86,13,9,10,6,5,65
31,86,86,30,160,1978,3,3,2,19,6,3,187,653,653,653,633,653,653,653,633,683,683,683,653,743,743,743,653,743,823,823,823,743,763,843,843,843,763,44,48,86,77,58,69,56,61,85,75,57,65,60,84,52,74,85,71,83,65,82,90,38,74,70,86,90,86,80,2,2,3,2,4,50
29,86,87,39,150,2047,3,3,2,2,6,1,179,663,663,663,653,663,663,663,653,683,683,683,683,753,753,753,683,783,823,823,823,783,793,843,843,843,793,64,45,82,79,38,62,63,69,85,74,61,66,60,86,50,78,84,74,79,65,80,87,58,67,58,81,90,91,86,16,6,14,16,14,75
28,86,86,44,180,2182,3,4,3,5,5,10,159,723,723,723,793,783,783,783,793,813,813,813,803,833,833,833,803,783,803,803,803,783,763,733,733,733,763,80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,88,79,86,75,74,70,7,7,13,7,8,73
31,86,86,30,160,1803,3,3,2,4,6,2,207,613,613,613,573,583,583,583,573,573,573,573,603,623,623,623,603,733,763,763,763,733,753,843,843,843,753,45,47,83,65,44,64,34,27,65,64,65,75,59,82,53,66,85,69,91,24,86,86,38,47,41,82,89,87,85,7,4,8,7,11,50
29,86,86,44,190,1911,4,2,4,10,5,11,168,753,753,753,823,813,813,813,823,843,843,843,823,783,783,783,823,573,563,563,563,573,523,403,403,403,523,83,73,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,82,24,16,19,6,14,10,6,14,83
33,86,86,18,185,2183,3,4,3,25,5,10,148,743,743,743,753,763,763,763,753,773,773,773,763,803,803,803,763,793,833,833,833,793,793,813,813,813,793,68,69,63,85,74,77,70,72,81,82,68,67,72,86,78,83,76,79,76,78,87,88,70,75,61,79,85,85,80,12,11,5,13,7,33
34,86,86,22,21,2058,4,4,4,8,5,7,150,743,743,743,823,813,813,813,823,853,853,853,823,833,833,833,823,713,733,733,733,713,683,633,633,633,683,77,70,54,90,74,90,80,70,85,92,70,67,79,86,84,65,47,55,58,71,58,66,81,93,71,89,67,57,56,6,13,6,13,7,27
23,85,92,47,82,1800,1,4,2,37,6,2,176,572,572,572,562,572,572,572,562,582,582,582,602,652,652,652,602,732,782,782,782,732,762,832,832,832,762,40,42,80,70,40,59,34,30,68,67,70,73,48,81,48,50,78,77,83,30,86,86,30,57,56,80,92,88,82,10,13,12,8,12,88
23,85,90,51,73,2206,2,4,4,21,6,3,168,812,812,812,792,812,812,812,792,822,822,822,802,832,832,832,802,772,802,802,802,772,762,792,792,792,762,64,80,86,85,74,86,78,75,85,87,68,70,66,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,7,10,7,16,7,90
22,85,92,54,215,2050,3,3,4,10,6,0,168,793,793,793,833,833,833,833,833,833,833,833,833,793,793,793,833,663,633,633,633,663,623,513,513,513,623,82,82,50,83,79,86,83,76,82,85,85,82,79,82,76,86,58,76,61,88,45,45,82,84,62,83,40,42,39,13,9,6,12,10,122
24,85,89,50,92,2102,3,3,4,18,5,8,165,793,793,793,843,833,833,833,843,833,833,833,833,773,773,773,833,623,603,603,603,623,573,503,503,503,573,83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,82,82,73,28,81,81,81,89,31,37,25,15,9,8,14,15,99
23,85,88,41,92,2185,3,4,3,18,5,9,154,753,753,753,793,783,783,783,793,793,793,793,813,813,813,813,813,813,803,803,803,813,803,773,773,773,803,90,66,74,85,61,80,81,61,80,85,78,68,84,85,83,75,79,85,65,69,74,79,80,79,44,82,75,81,79,8,15,7,15,15,70
23,85,90,51,77,2196,3,4,3,6,6,0,170,803,803,803,793,813,813,813,793,813,813,813,803,823,823,823,803,783,803,803,803,783,783,783,783,783,783,69,78,83,85,76,83,72,60,83,85,74,73,76,82,69,78,79,86,77,79,69,78,82,82,55,83,77,79,76,7,13,12,10,9,107
27,85,85,41,205,2031,3,4,5,26,5,10,148,773,773,773,843,823,823,823,843,833,833,833,833,773,773,773,833,633,593,593,593,633,573,473,473,473,573,81,80,48,82,72,91,84,78,76,90,88,83,93,77,88,79,61,76,54,81,48,39,80,81,73,86,45,31,18,15,9,13,11,6,75
26,85,87,38,110,2261,4,4,3,8,5,11,168,763,763,763,783,783,783,783,783,793,793,793,793,803,803,803,793,823,813,813,813,823,823,793,793,793,823,81,63,75,82,68,79,78,84,80,83,79,86,79,84,77,83,82,87,71,82,69,84,76,77,80,79,80,82,80,5,7,14,15,9,66
26,85,86,45,88,2175,3,4,3,8,5,9,163,773,773,773,813,813,813,813,813,833,833,833,833,843,843,843,833,763,783,783,783,763,733,703,703,703,733,86,72,61,90,56,82,85,76,89,86,71,68,74,85,78,84,61,90,79,81,71,66,84,87,59,78,80,69,51,14,12,5,10,13,96
27,85,86,45,180,2060,3,4,4,9,5,9,161,823,823,823,813,833,833,833,813,813,813,813,793,743,743,743,793,623,603,603,603,623,593,543,543,543,593,64,88,73,80,81,85,74,71,59,83,81,84,85,85,85,83,76,79,73,75,70,42,86,76,84,85,29,42,30,11,6,9,5,6,89
27,85,87,38,96,1642,3,2,2,4,6,2,183,493,493,493,493,483,483,483,493,493,493,493,533,563,563,563,533,723,743,743,743,723,763,833,833,833,763,27,10,80,60,16,54,30,10,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,22,26,79,86,87,89,8,6,8,15,12,67
30,85,85,29,170,1916,3,3,2,30,6,0,179,643,643,643,593,613,613,613,593,623,623,623,613,673,673,673,613,723,773,773,773,723,743,823,823,823,743,52,54,85,75,57,51,50,39,72,70,57,61,64,79,62,69,92,67,80,56,91,84,51,53,45,80,83,85,84,12,5,8,11,12,53
29,85,85,37,66,2119,2,4,3,10,6,0,163,742,742,742,772,772,772,772,772,802,802,802,782,832,832,832,782,742,772,772,772,742,712,692,692,692,712,84,79,61,90,72,78,89,90,87,84,51,43,66,78,72,78,51,78,72,82,58,81,81,86,83,78,69,68,60,5,9,12,14,8,78
29,85,85,38,215,2172,4,3,4,7,5,7,163,813,813,813,823,823,823,823,823,823,823,823,823,773,773,773,823,653,643,643,643,653,623,573,573,573,623,77,80,73,77,83,87,79,78,75,86,86,79,90,83,87,84,87,83,72,81,79,46,84,82,77,84,38,44,35,10,10,15,12,13,69
28,85,85,39,28,2030,3,3,4,8,5,9,146,753,753,753,833,813,813,813,833,823,823,823,823,763,763,763,823,643,603,603,603,643,593,483,483,483,593,79,76,46,79,73,93,84,78,72,86,87,75,92,84,87,69,72,85,49,76,46,38,83,79,75,90,51,36,25,13,16,12,7,7,78
29,85,85,30,115,1948,4,4,2,17,6,4,198,633,633,633,633,643,643,643,633,663,663,663,673,723,723,723,673,763,803,803,803,763,783,833,833,833,783,69,34,85,75,52,64,53,31,83,70,67,72,56,82,52,78,74,69,91,58,81,81,47,75,46,84,84,87,87,7,12,15,6,5,50
31,85,85,26,205,2230,4,4,3,8,5,11,165,783,783,783,763,783,783,783,763,783,783,783,763,813,813,813,763,793,833,833,833,793,803,833,833,833,803,76,75,82,83,78,76,76,68,79,82,60,55,74,84,75,86,85,83,79,85,93,84,80,80,81,81,82,87,86,4,2,4,2,4,53
29,85,85,38,110,2199,3,5,4,44,6,1,176,823,823,823,823,823,823,823,823,813,813,813,833,793,793,793,833,753,723,723,723,753,723,683,683,683,723,83,79,80,81,81,84,73,75,77,85,84,88,78,81,74,84,84,89,78,79,65,69,85,79,76,80,64,52,54,6,7,10,9,6,64
32,85,85,31,115,1931,3,5,2,9,6,4,185,823,823,823,773,803,803,803,773,783,783,783,763,743,743,743,763,593,613,613,613,593,563,553,553,553,563,63,89,84,77,77,76,65,54,72,84,65,66,57,83,36,86,66,76,80,79,51,50,89,74,67,83,58,28,16,9,11,13,15,15,52
31,85,85,33,160,2154,3,4,2,6,6,2,198,773,773,773,763,783,783,783,763,793,793,793,773,823,823,823,773,783,833,833,833,783,773,813,813,813,773,72,72,76,85,78,81,68,68,82,84,54,60,55,87,54,82,68,78,87,78,82,86,79,82,69,84,80,83,76,11,9,5,15,8,55
29,85,85,39,100,2003,4,4,2,19,6,2,190,823,823,823,763,793,793,793,763,753,753,753,753,693,693,693,753,613,613,613,613,613,593,613,613,613,593,65,87,82,65,81,77,62,59,52,83,74,76,58,85,53,83,64,76,92,74,93,40,87,74,75,83,58,39,34,11,13,12,8,11,79
30,85,85,36,105,2278,3,3,3,14,5,9,170,783,783,783,803,813,813,813,803,813,813,813,803,833,833,833,803,833,843,843,843,833,833,813,813,813,833,73,75,59,84,75,80,73,68,81,85,78,73,76,87,82,84,76,93,77,86,88,86,86,76,63,84,83,86,90,11,11,14,8,11,60
35,85,85,9,38,1959,3,4,2,29,6,6,201,703,703,703,623,663,663,663,623,653,653,653,633,703,703,703,633,723,773,773,773,723,753,823,823,823,753,45,57,94,76,60,60,52,76,70,68,60,65,46,85,36,92,45,61,83,82,72,83,53,59,60,84,86,88,85,14,10,14,8,14,15
31,85,85,26,145,2196,3,2,2,14,5,11,165,743,743,743,763,763,763,763,763,773,773,773,783,793,793,793,783,833,833,833,833,833,823,813,813,813,823,75,64,68,83,72,78,65,52,77,79,79,77,83,84,79,78,84,94,76,70,86,86,72,76,56,82,85,84,86,8,11,5,10,14,43
